Fwd Packet Length Mean,Fwd Packet Length Std,Bwd IAT Total,Packet Length Mean,Label,NormFwd_Packet_Length_Mean,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormFlow_IAT_Std,Sequential,NormBwd_IAT_Total,NormBwd_IAT_Std,NormBwd_Packet_Bulk_Avg,NormFwd_Packet_Bulk_Avg
94.572815534,240.35931444,59771,1292.90011891,video_dataset29,0.630485436893,8.61933412604,3.33910650649,9.47551870518,44,0.000049817929379,9.6247638258,0.2242,
124.037914692,284.293122513,172285,1309.87962518,video_dataset29,0.82691943128,8.73253083453,3.94944134927,7.73745609309,45,0.000143596091132,7.80569517579,0.832333333333,
127.42245266,277.977203631,544898,1306.22657084,video_dataset29,0.849483017734,8.70817713895,3.86169968682,2.95357626511,46,0.000454161551299,2.98386008511,7.8662,
139.662337662,307.67821581,11275,1312.86747951,video_dataset29,0.931082251082,8.75244986342,4.27431046185,2.18797837822,47,0.000009397486302,2.20706465374,0.333466666667,
203.684542587,364.571902817,173956,1289.24004425,video_dataset29,1.35789695058,8.59493362832,5.06468582511,5.2549450175,48,0.000144988836108,5.32331491075,0.903933333333,
149.630681818,312.600018228,35835,1301.18371425,video_dataset29,0.997537878788,8.674558095,4.3426848559,2.85237885143,49,0.000029867753581,2.88641257272,0.533733333333,
125.565320665,151.577195905,192654,1124.05977945,video_dataset29,0.837102137767,7.49373186303,2.10573242089,9.18992235581,50,0.000160573243991,9.61696192061,0.344533333333,
105.586021505,249.70909959,137101,1302.19852645,video_dataset29,0.703906810036,8.68132350968,3.46899507978,3.25999058909,51,0.000114270932991,3.29982468537,1.6558,
177.263636364,346.274978956,59615,1289.05921208,video_dataset29,1.18175757576,8.59372808052,4.81050230135,6.37938962054,52,0.000049687906509,6.46492808221,0.282533333333,
99.5266272189,248.072283655,41688,1297.59054873,video_dataset29,0.663510848126,8.65060365822,3.44625619507,4.48992134939,53,0.000034746111659,4.55094950054,0.4288,
151.036002939,309.488531142,281400,1295.66297785,video_dataset29,1.00690668626,8.63775318566,4.29945962539,2.80808914814,54,0.000234541254575,2.84415878487,3.83133333333,
127148,284.525515855,116348,1308.88333103,video_dataset29,0.847653333333,8.72588887356,3.95266979134,5.08750076606,55,0.000096973723836,5.13615734364,0.9662,
151.747720365,310.039580968,223583,1296.80290291,video_dataset29,1.0116514691,8.64535268606,4.30711488961,3.0293648542,56,0.000186351944995,3.0660780211,2.92573333333,
152.737804878,313.04895735,91363,1290.65881268,video_dataset29,1.01825203252,8.60439208452,4.34892158339,4.22274705786,57,0.000076149227583,4.28535094615,795,
116.445147679,139.794526609,166689,1099.39787582,video_dataset29,0.776300984529,7.32931917211,1.9420458677,8.03367118927,58,0.000138931937398,8.48349388115,0.326333333333,
148.866217517,305.312986388,272031,1297.27105684,video_dataset29,0.992441450112,8.64847371224,4.2414523512,3.18819386906,59,0.000226732381035,3.23007421982,2.9206,
218.555555556,373.591974454,67110,1289.23527858,video_dataset29,1.45703703704,8.59490185723,5.1899939704,4.34231882149,60,0.000055934838645,4.39630160187,0.504866666667,
136.414141414,290.788991707,344642,1299.32628202,video_dataset29,0.909427609428,8.66217521348,4.03968290759,2.04322208959,61,0.000287252192819,2.07020720484,5.83966666667,
121.892857143,112.673503604,160590,1148.03348416,video_dataset29,0.812619047619,7.65355656109,1.565276677,6.2168385735,62,0.000133848543256,6.48299281977,0.368266666667,
127.342741935,282.139697983,186463,1308.37057066,video_dataset29,0.848951612903,8.72247047104,3.91952566293,7.69984608347,63,0.000155413169694,7.77488339908,0.936866666667,
237.222222222,396.742335434,29054,1276.78584503,video_dataset29,1.58148148148,8.51190563352,5.51160214753,3.3077928556,64,0.000024215926121,3.36184902565,0.218466666667,
188.983695652,357.06705642,340879,1294.29874043,video_dataset29,1.25989130435,8.62865826956,4.96042740894,4.19589617031,65,0.000284115807812,4.24925332838,3.07506666667,
109.272058824,261.080701782,82774,1306.96478367,video_dataset29,0.728480392157,8.71309855781,3.62697102906,6.09877158094,66,0.000068990468395,6.17638508637,0.463733333333,
142.805729167,298.867756144,328123,1302.62895855,video_dataset29,0.952038194444,8.68419305701,4.15191427653,2.12599583637,67,0.000273483937722,2.15022641819,6.2438,
122.805825243,124.600856324,100491,1134.42137546,video_dataset29,0.818705501618,7.56280916976,1.73097319334,3.52544694906,68,0.000083757232458,3.70943262108,0.3586,
102.67032967,253.682831502,19530,1300.77685493,video_dataset29,0.684468864469,8.67184569952,3.52419874064,3.12171963544,69,0.000016277863191,3.16463850767,0.240733333333,
129.923076923,281.825512212,340260,1302.8167251,video_dataset29,0.866153846154,8.68544483399,3.91516094857,4.37634061246,70,0.000283599883731,4.42465379109,3.2326,
170.317757009,343.7076313,41117,1268.04171281,video_dataset29,1.1354517134,8.45361141873,4.77483633483,7.33959406749,71,0.000034270194614,7.49034349029,0.180533333333,
132.384615385,298.589769809,19476,1310.14635762,video_dataset29,0.882564102564,8.73430905077,4.14805244999,2.39171338209,72,0.000016232855274,2.41577985631,0.4026,
143.016666667,309.100868652,53849,1286.11634171,video_dataset29,0.953444444444,8.57410894476,4.29407416177,3.43808573538,73,0.000044882061186,3.49505344977,0.519666666667,
