fwdPacketLengthMean, fwdPacketLengthStd, bwdIATTotal, packetLengthMean, floxLabel, normFwdPacketLengthMean, normPacketLengthMean, normFwdPacketLengthStd, normBwdIATTotal,xPonctual, xInf, xSup, lowPacketLengthMeanUpperBound, lowPacketLengthMeanLowerBound,reasonablePacketLengthMeanUpperBound, reasonablePacketLengthMeanLowerBound, highPacketLengthMeanUpperBound,highPacketLengthMeanLowerBound, lowPacketLengthStdUpperBound, lowPacketLengthStdLowerBound,reasonablePacketLengthStdUpperBound, reasonablePacketLengthStdLowerBound, highPacketLengthStdUpperBound,highPacketLengthStdLowerBound, lowBackwardIatTotalUpperBound, lowBackwardIatTotalLowerBound,reasonableBackwardIatTotalUpperBound, reasonableBackwardIatTotalLowerBound, highBackwardIatTotalUpperBound,highBackwardIatTotalLowerBound, lowVideoUpperBound, lowVideoLowerBound, averageVideoUpperBound, averageVideoLowerBound,highVideoUpperBound, highVideoLowerBound, Sequencial
"0.0","0.0","0.0","0.0","live","0.0","8.650115","5.109632","8.2E-5","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","876"
"0.0","0.0","0.0","0.0","live","0.0","8.62339","4.662312","1.5E-5","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.9401356521739131","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","877"
"0.0","0.0","0.0","0.0","live","0.0","8.62339","4.662312","1.5E-5","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.9401356521739131","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","878"
"0.0","0.0","0.0","0.0","live","0.0","8.617429","5.395485","1.11E-4","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.9150065217391306","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","1037"
"0.0","0.0","0.0","0.0","live","0.0","8.617429","5.395485","1.11E-4","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.9150065217391306","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","1038"
"0.0","0.0","0.0","0.0","vod","0.0","8.648945","3.530542","6.7E-5","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.8122168000000001","0.44806173913043484","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","1561"
"0.0","0.0","0.0","0.0","vod","0.0","8.648945","3.530542","6.7E-5","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.8122168000000001","0.44806173913043484","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","1562"
"0.0","0.0","0.0","0.0","vod","0.0","8.607453","5.417891","1.03E-4","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.9052647826086957","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","1563"
"0.0","0.0","0.0","0.0","vod","0.0","8.607453","5.417891","1.03E-4","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.9052647826086957","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","1564"
"0.0","0.0","0.0","0.0","vod","0.0","8.609402","4.071609","2.26E-4","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.6833082608695651","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","1565"
